Día,year,mes,valor
11,2020.0,Abr,
12,2020.0,Abr,
13,2020.0,Abr,839.49
14,2020.0,Abr,844.57
15,2020.0,Abr,848.63
16,2020.0,Abr,859.31
17,2020.0,Abr,852.52
18,2020.0,Abr,
19,2020.0,Abr,
20,2020.0,Abr,849.45
21,2020.0,Abr,856.23
22,2020.0,Abr,862.06
23,2020.0,Abr,856.51
24,2020.0,Abr,858.87
25,2020.0,Abr,
26,2020.0,Abr,
27,2020.0,Abr,859.95
28,2020.0,Abr,856.76
29,2020.0,Abr,850.41
30,2020.0,Abr,836.62
31,2020.0,Abr,
1,2019.0,May,
2,2019.0,May,678.71
3,2019.0,May,683.31
4,2019.0,May,
5,2019.0,May,
6,2019.0,May,678.68
7,2019.0,May,681.09
8,2019.0,May,683.49
9,2019.0,May,684.51
10,2019.0,May,686.43
11,2019.0,May,
12,2019.0,May,
13,2019.0,May,685.67
14,2019.0,May,693.04
15,2019.0,May,692.33
16,2019.0,May,692.62
17,2019.0,May,692.79
18,2019.0,May,
19,2019.0,May,
20,2019.0,May,696.61
21,2019.0,May,
22,2019.0,May,697.23
23,2019.0,May,696.7
24,2019.0,May,698.03
25,2019.0,May,
26,2019.0,May,
27,2019.0,May,694.84
28,2019.0,May,696.46
29,2019.0,May,703.48
30,2019.0,May,708.2
31,2019.0,May,707.86
1,2020.0,May,
2,2020.0,May,
3,2020.0,May,
4,2020.0,May,837.92
5,2020.0,May,838.74
6,2020.0,May,832.84
7,2020.0,May,839.08
8,2020.0,May,836.27
9,2020.0,May,
10,2020.0,May,
11,2020.0,May,827.65
12,2020.0,May,826.05
13,2020.0,May,821.88
14,2020.0,May,820.38
15,2020.0,May,822.93
16,2020.0,May,
17,2020.0,May,
18,2020.0,May,823.86
19,2020.0,May,820.65
20,2020.0,May,819.08
21,2020.0,May,
22,2020.0,May,806.17
23,2020.0,May,
24,2020.0,May,
25,2020.0,May,805.75
26,2020.0,May,803.74
27,2020.0,May,802.1
28,2020.0,May,816.47
29,2020.0,May,812.74
30,2020.0,May,
31,2020.0,May,
1,2019.0,Jun,
2,2019.0,Jun,
3,2019.0,Jun,709.8
4,2019.0,Jun,704.59
5,2019.0,Jun,696.78
6,2019.0,Jun,693.25
7,2019.0,Jun,692.21
8,2019.0,Jun,
9,2019.0,Jun,
10,2019.0,Jun,692.28
11,2019.0,Jun,697.34
12,2019.0,Jun,693.6
13,2019.0,Jun,694.89
14,2019.0,Jun,696.25
15,2019.0,Jun,
16,2019.0,Jun,
17,2019.0,Jun,698.72
18,2019.0,Jun,699.52
19,2019.0,Jun,696.81
20,2019.0,Jun,693.99
21,2019.0,Jun,684.19
22,2019.0,Jun,
23,2019.0,Jun,
24,2019.0,Jun,683.41
25,2019.0,Jun,682.31
26,2019.0,Jun,678.32
27,2019.0,Jun,680.06
28,2019.0,Jun,679.86
29,2019.0,Jun,
30,2019.0,Jun,
31,2019.0,Jun,
1,2020.0,Jun,806.32
2,2020.0,Jun,796.46
3,2020.0,Jun,782.86
4,2020.0,Jun,769.13
5,2020.0,Jun,775.58
6,2020.0,Jun,
7,2020.0,Jun,
8,2020.0,Jun,764.97
9,2020.0,Jun,769.26
10,2020.0,Jun,771.96
11,2020.0,Jun,767.93
12,2020.0,Jun,784.65
13,2020.0,Jun,
14,2020.0,Jun,
15,2020.0,Jun,790.73
16,2020.0,Jun,796.87
17,2020.0,Jun,779.1
18,2020.0,Jun,798.53
19,2020.0,Jun,812.19
20,2020.0,Jun,
21,2020.0,Jun,
22,2020.0,Jun,817.33
23,2020.0,Jun,816.02
24,2020.0,Jun,817.9
25,2020.0,Jun,820.68
26,2020.0,Jun,813.25
27,2020.0,Jun,
28,2020.0,Jun,
29,2020.0,Jun,
30,2020.0,Jun,816.36
31,2020.0,Jun,
1,2019.0,Jul,679.15
2,2019.0,Jul,677.62
3,2019.0,Jul,681.3
4,2019.0,Jul,680.48
5,2019.0,Jul,677.64
6,2019.0,Jul,
7,2019.0,Jul,
8,2019.0,Jul,683.12
9,2019.0,Jul,685.83
10,2019.0,Jul,688.88
11,2019.0,Jul,685.4
12,2019.0,Jul,683.38
13,2019.0,Jul,
14,2019.0,Jul,
15,2019.0,Jul,681.07
16,2019.0,Jul,
17,2019.0,Jul,679.48
18,2019.0,Jul,681.69
19,2019.0,Jul,683.27
20,2019.0,Jul,
21,2019.0,Jul,
22,2019.0,Jul,685.81
23,2019.0,Jul,688.28
24,2019.0,Jul,691.57
25,2019.0,Jul,691.36
26,2019.0,Jul,694.16
27,2019.0,Jul,
28,2019.0,Jul,
29,2019.0,Jul,696.62
30,2019.0,Jul,697.22
31,2019.0,Jul,699.98
1,2020.0,Jul,821.23
2,2020.0,Jul,816.29
3,2020.0,Jul,803.98
4,2020.0,Jul,
5,2020.0,Jul,
6,2020.0,Jul,801.46
7,2020.0,Jul,798.79
8,2020.0,Jul,793.88
9,2020.0,Jul,786.18
10,2020.0,Jul,781.74
11,2020.0,Jul,
12,2020.0,Jul,
13,2020.0,Jul,790.82
14,2020.0,Jul,788.22
15,2020.0,Jul,787.87
16,2020.0,Jul,
17,2020.0,Jul,787.5
18,2020.0,Jul,
19,2020.0,Jul,
20,2020.0,Jul,787.26
21,2020.0,Jul,786.04
22,2020.0,Jul,777.66
23,2020.0,Jul,769.06
24,2020.0,Jul,767.17
25,2020.0,Jul,
26,2020.0,Jul,
27,2020.0,Jul,768.63
28,2020.0,Jul,768.81
29,2020.0,Jul,767.82
30,2020.0,Jul,759.18
31,2020.0,Jul,754.45
1,2019.0,Ago,700.82
2,2019.0,Ago,704.88
3,2019.0,Ago,
4,2019.0,Ago,
5,2019.0,Ago,711.13
6,2019.0,Ago,721.7
7,2019.0,Ago,716.35
8,2019.0,Ago,718.55
9,2019.0,Ago,710.98
10,2019.0,Ago,
11,2019.0,Ago,
12,2019.0,Ago,712.04
13,2019.0,Ago,716.69
14,2019.0,Ago,708.37
15,2019.0,Ago,
16,2019.0,Ago,710.14
17,2019.0,Ago,
18,2019.0,Ago,
19,2019.0,Ago,709.26
20,2019.0,Ago,711.94
21,2019.0,Ago,710.63
22,2019.0,Ago,709.52
23,2019.0,Ago,713.22
24,2019.0,Ago,
25,2019.0,Ago,
26,2019.0,Ago,716.4
27,2019.0,Ago,718.75
28,2019.0,Ago,721.55
29,2019.0,Ago,724.2
30,2019.0,Ago,720.65
31,2019.0,Ago,
1,2020.0,Ago,
2,2020.0,Ago,
3,2020.0,Ago,757.06
4,2020.0,Ago,761.34
5,2020.0,Ago,767.98
6,2020.0,Ago,774.82
7,2020.0,Ago,777.18
8,2020.0,Ago,
9,2020.0,Ago,
10,2020.0,Ago,784.28
11,2020.0,Ago,796.58
12,2020.0,Ago,793.61
13,2020.0,Ago,792.69
14,2020.0,Ago,793.32
15,2020.0,Ago,
16,2020.0,Ago,
17,2020.0,Ago,796.73
18,2020.0,Ago,803.4
19,2020.0,Ago,796.23
20,2020.0,Ago,784.25
21,2020.0,Ago,785.84
22,2020.0,Ago,
23,2020.0,Ago,
24,2020.0,Ago,790.88
25,2020.0,Ago,786.17
26,2020.0,Ago,784.44
27,2020.0,Ago,786.91
28,2020.0,Ago,784.27
29,2020.0,Ago,
30,2020.0,Ago,
31,2020.0,Ago,779.92
1,2019.0,Sep,
2,2019.0,Sep,720.2
3,2019.0,Sep,724.72
4,2019.0,Sep,725.69
5,2019.0,Sep,723.3
6,2019.0,Sep,717.52
7,2019.0,Sep,
8,2019.0,Sep,
9,2019.0,Sep,711.22
10,2019.0,Sep,713.72
11,2019.0,Sep,714.77
12,2019.0,Sep,714.39
13,2019.0,Sep,711.29
14,2019.0,Sep,
